cve_id,source,first_seen,first_seen_type,cvss_score,cvss_severity,epss_score,epss_percentile,kev_listed,bucket,suggested_action,cwe,nvd_published,enriched_at
CVE-2023-1389,Krebs on Security,2026-04-30,feed_pub,8.8,HIGH,0.9347,0.9983,true,kev_override,Patch immediately — CISA KEV listed; exploitation confirmed in the wild.,CWE-77;CWE-77,2023-03-15,2026-05-03T22:47:40.899003
CVE-2026-32201,Krebs on Security,2026-04-14,feed_pub,6.5,MEDIUM,0.0794,0.9207,true,kev_override,Patch immediately — CISA KEV listed; exploitation confirmed in the wild.,CWE-20,2026-04-14,2026-05-03T22:47:40.899013
CVE-2026-33825,Krebs on Security,2026-04-14,feed_pub,7.8,HIGH,0.0395,0.8839,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-1220,2026-04-14,2026-05-03T22:47:40.899018
CVE-2026-34621,Krebs on Security,2026-04-14,feed_pub,8.6,HIGH,0.0959,0.9289,true,kev_override,Patch immediately — CISA KEV listed; exploitation confirmed in the wild.,CWE-1321,2026-04-11,2026-05-03T22:47:40.899022
CVE-2026-5281,Krebs on Security,2026-04-14,feed_pub,8.8,HIGH,0.0087,0.7526,true,kev_override,Patch immediately — CISA KEV listed; exploitation confirmed in the wild.,CWE-416,2026-04-01,2026-05-03T22:47:40.899027
CVE-2026-21262,Krebs on Security,2026-03-11,feed_pub,8.8,HIGH,0.0010,0.2755,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-284,2026-03-10,2026-05-03T22:47:40.899031
CVE-2026-26127,Krebs on Security,2026-03-11,feed_pub,7.5,HIGH,0.0013,0.3195,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-125,2026-03-10,2026-05-03T22:47:40.899035
CVE-2026-26113,Krebs on Security,2026-03-11,feed_pub,7.8,HIGH,0.0003,0.0749,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-822;NVD-CWE-Other,2026-03-10,2026-05-03T22:47:40.899041
CVE-2026-26110,Krebs on Security,2026-03-11,feed_pub,7.8,HIGH,0.0007,0.2135,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-843,2026-03-10,2026-05-03T22:47:40.899045
CVE-2026-24291,Krebs on Security,2026-03-11,feed_pub,7.8,HIGH,0.0007,0.2192,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-732,2026-03-10,2026-05-03T22:47:40.899049
CVE-2026-24294,Krebs on Security,2026-03-11,feed_pub,7.8,HIGH,0.0005,0.1510,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-287,2026-03-10,2026-05-03T22:47:40.899052
CVE-2026-24289,Krebs on Security,2026-03-11,feed_pub,7.8,HIGH,0.0004,0.1226,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-416,2026-03-10,2026-05-03T22:47:40.899055
CVE-2026-25187,Krebs on Security,2026-03-11,feed_pub,7.8,HIGH,0.0006,0.1930,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-59,2026-03-10,2026-05-03T22:47:40.899060
CVE-2026-21536,Krebs on Security,2026-03-11,feed_pub,9.8,CRITICAL,0.0163,0.8196,false,plan_and_patch,Plan and patch — high CVSS but low EPSS; exploit unlikely but impact severe.,CWE-434,2026-03-05,2026-05-03T22:47:40.899063
CVE-2026-41940,BleepingComputer,2026-05-02,feed_pub,9.8,CRITICAL,0.2836,0.9653,true,kev_override,Patch immediately — CISA KEV listed; exploitation confirmed in the wild.,CWE-306,2026-04-29,2026-05-03T22:47:40.899066
